"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"huxtable","huxtable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.2.0",NA,"R (>= 2.10)","assertthat, commonmark, generics, glue, memoise, R6, rlang,
stats, stringr (>= 1.2.0), tidyselect, utils, xml2",NA,"AER, bookdown, broom (>= 0.5.1), broom.mixed, covr, crayon,
devtools, dplyr (>= 0.7.0), fansi, flextable (>= 0.5.5),
ftExtra (>= 0.0.2), ggplot2, httr, knitr, lme4, lmtest, nlme,
nnet, officer, openxlsx, psych, rmarkdown, sandwich, scales,
testthat, tibble, tinytex",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"hypergeo","hypergeo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-13",NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"icon","icon","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0.9000",NA,"R (>= 3.1.3)","knitr, rlang, htmltools, glue, rappdirs, xml2, stringr,
jsonlite, cli, crayon, utils, rstudioapi",NA,"rsvg, covr, gh",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"ids","ids","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.6",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"influence.ME","influence.ME","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-9",NA,"R(>= 2.15.0), lme4(>= 1.0)","Matrix(>= 1.0), lattice",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"ini","ini","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"inline","inline","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.19",NA,NA,"methods",NA,"Rcpp (>= 0.11.0), tinytest",NA,"LGPL",NA,NA,NA,NA,"no","4.0.2"
"insight","insight","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.17.0",NA,"R (>= 3.4)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, GLMMadaptive, glmmTMB, gmnl, gt,
httr, ivreg, JM, knitr, lavaan, lfe, lme4, lmtest, logistf,
MASS, marginaleffects, Matrix, mclust, MCMCglmm, merTools,
metaBMA, mgcv, mice, mlogit, multgee, nlme, nnet, nonnest2,
ordinal, panelr, parameters, parsnip, performance, plm,
poorman, pscl, psych, quantreg, rmarkdown, rms, robustbase,
robustlmm, rstanarm (>= 2.21.1), rstantools, rstudioapi,
sandwich, speedglm, spelling, splines, statmod, survey,
survival, testthat, tripack, truncreg, tweedie, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"inum","inum","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-3",NA,"R (>= 3.3.0)","stats, libcoin (>= 1.0-0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ipred","ipred","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-11",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"irr","irr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.84.1",NA,"R (>= 2.10), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"isoband","isoband","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.5",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ISOcodes","ISOcodes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2021.02.24",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"iterators","iterators","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.13",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.2"
"itsadug","itsadug","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4",NA,"R (>= 4.0), mgcv (>= 1.8), plotfunctions (>= 1.4)",NA,NA,"knitr, xtable, sp, data.table",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"janeaustenr","janeaustenr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.5",NA,"R (>= 3.1.2)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"janitor","janitor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"knitr, rmarkdown, sf, testthat, tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"Johnson","Johnson","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"jpeg","jpeg","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-8.1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"jquerylib","jquerylib","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8.0",NA,"methods",NA,NA,"httr, curl, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"kableExtra","kableExtra","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.4",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite",NA,"testthat, magick, formattable, sparkline",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"kernlab","kernlab","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-29",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.23-18","recommended","R (>= 2.5.0), stats",NA,NA,"MASS",NA,"Unlimited",NA,NA,NA,NA,"yes","4.0.2"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.33",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, methods, markdown, stringr (>=
0.6), yaml (>= 2.1.19), xfun (>= 0.21), tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0)",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"koRpus","koRpus","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.13-5",NA,"R (>= 3.0.0),sylly (>= 0.1-6)","data.table,methods,Matrix",NA,"testthat,tm,SnowballC,shiny,knitr,rmarkdown,koRpus.lang.de,koRpus.lang.en,koRpus.lang.es,koRpus.lang.fr,koRpus.lang.it,koRpus.lang.nl,koRpus.lang.pt,koRpus.lang.ru","rkward","GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"koRpus.lang.en","koRpus.lang.en","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-4",NA,"R (>= 3.1),koRpus (>= 0.11-2)","methods,sylly.en",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"kSamples","kSamples","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-9",NA,"SuppDists","methods, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.0.2"
"LaCroixColoR","LaCroixColoR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,"R (>= 3.3.0)","sysfonts, showtext, extrafont, extrafontdb",NA,NA,NA,NA,NA,NA,NA,NA,"no","4.0.1"
"lamW","lamW","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.0.2)","Rcpp, RcppParallel (>= 4.3.20)","Rcpp, RcppParallel (>= 4.3.20)","testthat, covr",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"languageR","languageR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.0",NA,"R(>= 3.0.2)","methods",NA,"cluster, e1071, rms, Hmisc, MASS, rpart, lattice, zipfR,
lme4, multcomp, lmerTest, optimx",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"lars","lars","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"later","later","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.20-41","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"latticeExtra","latticeExtra","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"lava","lava","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.6.9",NA,"R (>= 3.0)","grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, knitr, bookdown,
rmarkdown, igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2,
lme4, magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg,
rgl, R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"lavaan","lavaan","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6-8",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"LCFdata","LCFdata","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"leaflet","leaflet","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.4.1",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers (>=
1.8.0)",NA,"knitr, maps, sf (>= 0.9-6), shiny, rgdal, rgeos, R6, RJSONIO,
purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"leaflet.providers","leaflet.providers","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"learnB4SS","learnB4SS","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.7",NA,"R (>= 3.5.0)","brms, broom.mixed, bayesplot, bayestestR, cli, dplyr,
extraDistr, ggplot2, ggrepel, glue, HDInterval, here, modelr,
parameters, patchwork, see, stringr, tidybayes, tidyverse,
usethis, utils",NA,"rmarkdown, knitr, learnr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"LearnBayes","LearnBayes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.15.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"learnr","learnr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.10.1",NA,NA,"utils, parallel, withr, rappdirs, rprojroot, jsonlite,
htmltools (>= 0.3.5), htmlwidgets, evaluate, knitr (>= 1.14),
markdown, shiny (>= 1.0), rmarkdown (>= 1.12.0), ellipsis (>=
0.2.0.1), checkmate, renv (>= 0.8.0)",NA,"testthat (>= 2.1.0), callr, rlang",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.0"
"libcoin","libcoin","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-8",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"lifecycle","lifecycle","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, lintr, tidyverse, knitr, rmarkdown, testthat
(>= 3.0.1), tools, tibble, vctrs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"linprog","linprog","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-2",NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.0"
"listenv","listenv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.0"
"lme4","lme4","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-29",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"LMERConvenienceFunctions","LMERConvenienceFunctions","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0",NA,"lme4","Matrix, LCFdata, fields, mgcv, parallel, methods, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"lmerTest","lmerTest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1-3",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"lmom","lmom","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.8",NA,"R (>= 3.0.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","4.0.2"
"lmtest","lmtest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-38",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"lobstr","lobstr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,"R (>= 3.2)","crayon, Rcpp, rlang (>= 0.3.0)","Rcpp","covr, pillar, pkgdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"logspline","logspline","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.16",NA,NA,"stats, graphics",NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.0.2"
"loo","loo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4.1",NA,"R (>= 3.1.2)","checkmate, matrixStats (>= 0.52), parallel, stats",NA,"bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 2.1.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"lpSolve","lpSolve","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.6.15",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.0.0"
"lsmeans","lsmeans","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.30-0",NA,"emmeans (>= 1.3), methods, R (>= 3.2)",NA,NA,"",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.0"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.10",NA,"methods, R (>= 3.2)","generics, Rcpp (>= 0.12.13)","Rcpp","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"magic","magic","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5-9",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"magick","magick","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.7.3",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"manipulate","manipulate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"manipulateWidget","manipulateWidget","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.10.1",NA,NA,"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot",NA,"dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"maptools","maptools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-1",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.3-53.1","recommended","R (>= 3.1.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3-2","recommended","R (>= 3.6.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.2"
"matrixcalc","matrixcalc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-3",NA,"R (>= 2.0.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.0"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.59.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"MBESS","MBESS","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.8.0",NA,"R (>= 3.5.0), stats","boot, gsl, lavaan, MASS, methods, mnormt, nlme, OpenMx,
parallel, sem, semTools",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"mclust","mclust","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.4.7",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"mcmc","mcmc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-7",NA,"R (>= 3.0.2)","stats",NA,"xtable, Iso",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"MCMCpack","MCMCpack","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5-0",NA,"R (>= 3.6), coda (>= 0.11-3), MASS, stats","graphics, grDevices, lattice, methods, utils, mcmc, quantreg",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"metafor","metafor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4-0",NA,"R (>= 3.5.0), methods, Matrix","stats, utils, graphics, grDevices, nlme",NA,"lme4, numDeriv, minqa, nloptr, dfoptim, ucminf,
optimParallel, CompQuadForm, mvtnorm, BiasedUrn, Epi, survival,
GLMMadaptive, multcomp, gsl, sp, boot, crayon, R.rsp, testthat,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"methods","methods","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8-34","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"mi","mi","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0",NA,"R (>= 3.0.0), methods, Matrix, stats4","arm (>= 1.4-11)",NA,"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival,
truncnorm, foreign",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"mime","mime","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.11",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.0.2"
"miniUI","miniUI","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"mitools","mitools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"mlbench","mlbench","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1-3",NA,"R (>= 2.10)",NA,NA,"lattice",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"mnormt","mnormt","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.2",NA,"R (>= 2.2.0)","tmvnsim (>= 1.0-2)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"modelbased","modelbased","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.1",NA,NA,"insight (>= 0.11.0), bayestestR (>= 0.8.0), parameters (>=
0.10.0), emmeans (>= 1.4.4), graphics, stats, utils",NA,"brms, coda, dplyr, effectsize, gganimate, gamm4, ggplot2,
glmmTMB, knitr, lme4, logspline, Matrix, MASS, merTools, mgcv,
rmarkdown, rstanarm, see, testthat,",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
